# CoCo3 OS-9 AGI IMAGE MANIFEST -- harness/tools/game_manifest.py --os9
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# ONE ROW PER IMAGE, not per title: the media variants are different builds.
# agi_bytes counts AGI resources ONLY -- Sierra's interpreter (CMDS/Sierra, MnLn,
# Scrn, Shdw, TOCGen) and the OS-9 host (OS9Boot, MODULES/, shell utilities) are
# CODE our port replaces, and are reported separately.
# stride 512 = DrivePak container (one 256-byte OS-9 sector per 512-byte block).
#
image	sha256	image_bytes	stride	sectors	volume	dd_fmt	version	files	agi_files	agi_bytes	vols	interp_bytes	host_bytes
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq4-3.dsk	dbe7d3ae0310e5c42ab13f4c9b8a838c2846b37b7b9fd390a1be8bb835be40fb	368640	256	1440	King's Quest 4 Disk 3	0x03	none	5	5	358576	4	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq4-4.dsk	27140f9275ddc68a1e2fc711e59d5fde6f072b5bfd5e45dce59a81a279d83a32	368640	256	1440	King's Quest 4 Disk 4	0x03	none	4	4	354154	3	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq4-5.dsk	658a48a6b1db575d6bd5c6012d950f2ce2998d9b20d2c7ee950ff4ec2320cf9d	368640	256	1440	King's Quest 4 Disk 5	0x03	none	4	4	229287	3	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq4-6.dsk	614e70650b0ea55de38e36d3b668b4812a550ec5b1197d2d5f74732161af4fb9	368640	256	1440	King's Quest 4 Disk 6	0x03	none	5	5	266652	4	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 720K/kq4-1.dsk	2fe5ee53a6d257ac13507ba188ddf4d17f9058e38b71034a1ef3cda2b6ed6fbd	737280	256	2880	King's Quest 4 Disk 1	0x03	v2	21	11	375860	5	37162	31937
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 720K/kq4-2.dsk	72d6d05574da610f9b3e3478f313215a7203996603e0949e132ecf187ed0d50e	737280	256	2880	King's Quest 4 Disk 2	0x03	none	6	6	640331	5	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 720K/kq4-3.dsk	6f1f30eea43839887c3f3f916f57d6615096575ea9c95a396f337bc60f356cff	737280	256	2880	King's Quest 4 Disk 3	0x03	none	6	6	531723	5	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq4-sg1.dsk	bb54d427ad6e656332c1f2785317846cd68c4a95a038f9e35e7c8518c1379f3d	184320	256	720		0x00	none	12	0	0	0	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq4-sg2.dsk	fabc240fa38b15b06ec538d7f3ef9926ba00bf2e56eed1240f800c7a62423e7c	184320	256	720		0x00	none	12	0	0	0	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Coco SDC/kq6.dsk	65b2be988ddf91688a86874d7bc0cd150a28b7a0519bbef97da5fcfa8fd7c7df	1474560	256	5760	King's Quest 6	0x02	v2	33	14	1049006	8	37162	41715
