# CoCo3 OS-9 PER-FILE INVENTORY -- harness/tools/game_manifest.py --os9
# ★ sha256 is of the FILE CONTENT read out of the image. Content only: no AGI
# resource is decoded, and no game byte is stored here -- only its digest.
#
image	file	kind	size	actual	sha256	short
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.2	agi	64535	64535	e24807e606dcb66bb372884864e96b25780f3567da362faa6b7528fd3d6538eb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.3	agi	42626	42626	bf676595dd3c531a2c2ff21ea9f56b532fc6ba4f79c879e82f0dfb3dbcee013c	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.4	agi	49376	49376	bbd1c9f4909174d9e0c8b5d66fecccfb374ae27b4436b9405696f60a6a40de1d	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.5	agi	48426	48426	6ba7cb50e47bc9c828440bcd394853befa5bc539ce382298b1a839891de99eb7	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.6	agi	55153	55153	cdb0df2685dd043d459a84c3c02935f719999f867f1c51c9f87222ac574de45f	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.7	agi	62991	62991	421a831c114e2b2a92231c120d270763f60375f9be41ef9fe34b67f4e73b6368	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.8	agi	51593	51593	14999d189fcbc35a2ada4a9979ec38e0af394510baf3f2aac67c90e4979a48e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	vol.9	agi	62342	62342	2f2f7b1392d757bb0a76443faf53295bf67906a9b866da4d5b6ab0bb933510ee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq3.dsk	words.tok	agi	4463	4463	fc0771895e250bfd42a90462ab35ce84063c15d2c188a8cfa40e391332976900	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	logDir	agi	429	429	a8505f8c0a9b4ec45bc73de4e64f54f900ee23de07fadc66f3f0ecd514d52c1a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	object	agi	793	793	6785f2d97984f7465734344d36be21ae6fbdae5051fa367481a296460031a7a1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	OS9Boot	host	21958	21958	0418ed8d0c3b881ca7126a68624029e42c5df0bfa2538354bbac37d9d1c67a29	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	picDir	agi	531	531	696b2eeeb4cc4257b395a6e3c9e0dbbaf9c5bca3750d3bbe31c5079ef8cc43e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	sndDir	agi	120	120	8edde9ded7e8c379d7399b7de24577029deb23f712687119959aaf83efd3a76b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	toc	host	65	65	e91d79840b9493af4d68e98d00c2f3da0da94e614d061e601199e5a55159f463	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	toc.txt	host	156	156	3d6c0800b79e19a49afd996b53a276eed0f2d6829d8477b145925143e1992fb5	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	viewDir	agi	756	756	78ae5afded9483b563168ab494853540ad10b12c22080df5bbaf69e21894f9ae	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.0	agi	72932	72932	4a376fb5d052fc7dfb2f49cc9f3db28a0ed3347176b55ca219bc0678374ef820	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.1	agi	23116	23116	4cc95ff61f4bebf3729697ae69327c5801e1989cc87397d4e62345d0f47fb0fb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.11	agi	8076	8076	412cb8cc0652026ebe6d2b99be89d476a603d8149397db6a309fd51b55e533d5	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.12	agi	15067	15067	53278d0ca0ff2d4a27b0f4016e0fa07d6e7f52187c57d88e4c6ff55d6b6aeb54	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.2	agi	64535	64535	e24807e606dcb66bb372884864e96b25780f3567da362faa6b7528fd3d6538eb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.3	agi	42626	42626	bf676595dd3c531a2c2ff21ea9f56b532fc6ba4f79c879e82f0dfb3dbcee013c	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.4	agi	49376	49376	bbd1c9f4909174d9e0c8b5d66fecccfb374ae27b4436b9405696f60a6a40de1d	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.5	agi	48426	48426	6ba7cb50e47bc9c828440bcd394853befa5bc539ce382298b1a839891de99eb7	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.6	agi	55153	55153	cdb0df2685dd043d459a84c3c02935f719999f867f1c51c9f87222ac574de45f	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.7	agi	62991	62991	421a831c114e2b2a92231c120d270763f60375f9be41ef9fe34b67f4e73b6368	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.8	agi	51593	51593	14999d189fcbc35a2ada4a9979ec38e0af394510baf3f2aac67c90e4979a48e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	vol.9	agi	62342	62342	2f2f7b1392d757bb0a76443faf53295bf67906a9b866da4d5b6ab0bb933510ee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq3-drivepak.par	words.tok	agi	4463	4463	fc0771895e250bfd42a90462ab35ce84063c15d2c188a8cfa40e391332976900	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/dw	host	730	730	010fb42a1eba3371ab15c4c5851b6939e6682bb228a9931e5b09c59091c9a31d	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	logDir	agi	429	429	a8505f8c0a9b4ec45bc73de4e64f54f900ee23de07fadc66f3f0ecd514d52c1a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	object	agi	793	793	6785f2d97984f7465734344d36be21ae6fbdae5051fa367481a296460031a7a1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	OS9Boot	host	24902	24902	d19c116566b2b6676844232d17efd429f52f68eed5de5385905be402a3463569	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	picDir	agi	531	531	696b2eeeb4cc4257b395a6e3c9e0dbbaf9c5bca3750d3bbe31c5079ef8cc43e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	sndDir	agi	120	120	8edde9ded7e8c379d7399b7de24577029deb23f712687119959aaf83efd3a76b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	toc	host	65	65	e91d79840b9493af4d68e98d00c2f3da0da94e614d061e601199e5a55159f463	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	toc.txt	host	156	156	3d6c0800b79e19a49afd996b53a276eed0f2d6829d8477b145925143e1992fb5	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	viewDir	agi	756	756	78ae5afded9483b563168ab494853540ad10b12c22080df5bbaf69e21894f9ae	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.0	agi	72932	72932	4a376fb5d052fc7dfb2f49cc9f3db28a0ed3347176b55ca219bc0678374ef820	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.1	agi	23116	23116	4cc95ff61f4bebf3729697ae69327c5801e1989cc87397d4e62345d0f47fb0fb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.11	agi	8076	8076	412cb8cc0652026ebe6d2b99be89d476a603d8149397db6a309fd51b55e533d5	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.12	agi	15067	15067	53278d0ca0ff2d4a27b0f4016e0fa07d6e7f52187c57d88e4c6ff55d6b6aeb54	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.2	agi	64535	64535	e24807e606dcb66bb372884864e96b25780f3567da362faa6b7528fd3d6538eb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.3	agi	42626	42626	bf676595dd3c531a2c2ff21ea9f56b532fc6ba4f79c879e82f0dfb3dbcee013c	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.4	agi	49376	49376	bbd1c9f4909174d9e0c8b5d66fecccfb374ae27b4436b9405696f60a6a40de1d	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.5	agi	48426	48426	6ba7cb50e47bc9c828440bcd394853befa5bc539ce382298b1a839891de99eb7	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.6	agi	55153	55153	cdb0df2685dd043d459a84c3c02935f719999f867f1c51c9f87222ac574de45f	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.7	agi	62991	62991	421a831c114e2b2a92231c120d270763f60375f9be41ef9fe34b67f4e73b6368	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.8	agi	51593	51593	14999d189fcbc35a2ada4a9979ec38e0af394510baf3f2aac67c90e4979a48e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	vol.9	agi	62342	62342	2f2f7b1392d757bb0a76443faf53295bf67906a9b866da4d5b6ab0bb933510ee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-becker.dsk	words.tok	agi	4463	4463	fc0771895e250bfd42a90462ab35ce84063c15d2c188a8cfa40e391332976900	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/dw	host	730	730	010fb42a1eba3371ab15c4c5851b6939e6682bb228a9931e5b09c59091c9a31d	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	logDir	agi	429	429	a8505f8c0a9b4ec45bc73de4e64f54f900ee23de07fadc66f3f0ecd514d52c1a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	object	agi	793	793	6785f2d97984f7465734344d36be21ae6fbdae5051fa367481a296460031a7a1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	OS9Boot	host	24498	24498	0d569e1435e1bade70e4720ac5cd42ed05d76fea658d56da1804659a5115f92b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	picDir	agi	531	531	696b2eeeb4cc4257b395a6e3c9e0dbbaf9c5bca3750d3bbe31c5079ef8cc43e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	sndDir	agi	120	120	8edde9ded7e8c379d7399b7de24577029deb23f712687119959aaf83efd3a76b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	toc	host	65	65	e91d79840b9493af4d68e98d00c2f3da0da94e614d061e601199e5a55159f463	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	toc.txt	host	156	156	3d6c0800b79e19a49afd996b53a276eed0f2d6829d8477b145925143e1992fb5	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	viewDir	agi	756	756	78ae5afded9483b563168ab494853540ad10b12c22080df5bbaf69e21894f9ae	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.0	agi	72932	72932	4a376fb5d052fc7dfb2f49cc9f3db28a0ed3347176b55ca219bc0678374ef820	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.1	agi	23116	23116	4cc95ff61f4bebf3729697ae69327c5801e1989cc87397d4e62345d0f47fb0fb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.11	agi	8076	8076	412cb8cc0652026ebe6d2b99be89d476a603d8149397db6a309fd51b55e533d5	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.12	agi	15067	15067	53278d0ca0ff2d4a27b0f4016e0fa07d6e7f52187c57d88e4c6ff55d6b6aeb54	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.2	agi	64535	64535	e24807e606dcb66bb372884864e96b25780f3567da362faa6b7528fd3d6538eb	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.3	agi	42626	42626	bf676595dd3c531a2c2ff21ea9f56b532fc6ba4f79c879e82f0dfb3dbcee013c	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.4	agi	49376	49376	bbd1c9f4909174d9e0c8b5d66fecccfb374ae27b4436b9405696f60a6a40de1d	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.5	agi	48426	48426	6ba7cb50e47bc9c828440bcd394853befa5bc539ce382298b1a839891de99eb7	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.6	agi	55153	55153	cdb0df2685dd043d459a84c3c02935f719999f867f1c51c9f87222ac574de45f	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.7	agi	62991	62991	421a831c114e2b2a92231c120d270763f60375f9be41ef9fe34b67f4e73b6368	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.8	agi	51593	51593	14999d189fcbc35a2ada4a9979ec38e0af394510baf3f2aac67c90e4979a48e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	vol.9	agi	62342	62342	2f2f7b1392d757bb0a76443faf53295bf67906a9b866da4d5b6ab0bb933510ee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq3-dw.dsk	words.tok	agi	4463	4463	fc0771895e250bfd42a90462ab35ce84063c15d2c188a8cfa40e391332976900	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	logDir	agi	429	429	a8505f8c0a9b4ec45bc73de4e64f54f900ee23de07fadc66f3f0ecd514d52c1a	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	object	agi	793	793	6785f2d97984f7465734344d36be21ae6fbdae5051fa367481a296460031a7a1	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	OS9Boot	host	22704	22704	8bc559aaf1394e303447d59a303d0d52c8bfaa797797146c1e689766cd4092b0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	picDir	agi	531	531	696b2eeeb4cc4257b395a6e3c9e0dbbaf9c5bca3750d3bbe31c5079ef8cc43e9	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	sndDir	agi	120	120	8edde9ded7e8c379d7399b7de24577029deb23f712687119959aaf83efd3a76b	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	toc	host	65	65	ef113bc36e1389b43dedf1c1ec7fed919018c656556794001ba3d9b5cf978856	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq3-1.dsk	toc.txt	host	156	156	f2512f4703d6705e0ec31ac0070f12c0de88ee58be9a676d93d375babed26744	0
