# THREE-AXIS CORPUS CLASSIFICATION (AD-28) -- harness/tools/classify_corpus.py
# * MANIFEST ONLY. No game data here and none ever (§2P).
# dir_format / vol_format / interp_version are INDEPENDENT AXES. Each has a *_method
# saying HOW it was established. An EMPTY value was NOT ESTABLISHED -- never guessed.
# interp_version is populated ONLY from an oracle md5+size match (L-26): a version from
# the oracle's table and one inferred from file shape are different claims.
# Detection hash = md5 of the FIRST 5000 BYTES of the detection file, size enforced where
# the table gives one (advancedDetector.cpp:974 and :818, read not assumed -- L-25).
#
population	row	dir_format	dir_method	vol_format	vol_method	interp_version	interp_method	detect_file	detect_md5	detect_bytes	scummvm_id	scummvm_extra	scummvm_platform	match_note	scummvm_comment
fan	bormn1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	d74481cbd227f67ace37ce6a5493039f	768	agi-fanmade	Boring Man 1: The Toad to Robinland	DOS	ok	
fan	bormn2	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	250032ba105bdf7c1bc4fed767c2d37e	768	agi-fanmade	Boring Man 2: Ho Man! This Game Sucks!	DOS	ok	
fan	botz	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	a8fabe4e807adfe5ec02bfec6d983695	300	agi-fanmade	Botz	DOS	ok	
fan	brianq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	0964aa79b9cdcff7f33a12b1d7e04b9c	300	agi-fanmade	Brian's Quest (v1.0)	DOS	ok	
fan	btitan	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	9b8de38dc64ffb3f52b7877ea3ebcef9	300	agi-fanmade	Beyond the Titanic 2	DOS	ok	
fan	cardrv	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	2311611d2d36d20ccc9da806e6cba157	300	agi-fanmade	Car Driver (v1.1)	DOS	ok	
fan	cldest	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version on the entry line	logdir	818469c484cae6dad6f0e9a353f68bf8	354	caitlyn		DOS	ok	
fan	cocoen	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	97631f8e710544a58bd6da9e780f9320	672	agi-fanmade	Coco Coq (English) - Coco Coq In Grostesteing's Base (v.1.0.3)	DOS	ok	
fan	corbmm	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	4ebe62ac24c5a8c7b7898c8eb070efe5	300	agi-fanmade	Corby's Murder Mystery (v1.0)	DOS	ok	
fan	cpu21	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	35b7cdb4d17e890e4c52018d96e9cbf4	300	agi-fanmade	CPU-21 (v1.0)	DOS	ok	
